area_type,availability,location,size,society,total_sqft,bath,balcony,price
Plot  Area,Ready To Move,Kanakpura Road,3 Bedroom,Nathira,1500,3.0,2.0,97.0
Super built-up  Area,18-Apr,Basavangudi,3 BHK,,2337,4.0,3.0,292.0
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,,1555,3.0,3.0,52.0
Super built-up  Area,Ready To Move,Wajid layout thanisandra,4 BHK,,3000,5.0,2.0,100.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itvir M,919,2.0,2.0,40.0
Super built-up  Area,19-Dec,Thanisandra main road,3 BHK,,3144,3.0,1.0,455.0
Built-up  Area,Ready To Move,Abbaiah Reddy Layout,2 BHK,Krllael,1200,2.0,2.0,50.0
Built-up  Area,18-May,Mathikere Extension,4 Bedroom,,2000,2.0,1.0,160.0
Built-up  Area,Ready To Move,Kengeri,3 BHK,,1082,2.0,1.0,49.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,,1280,2.0,2.0,69.0
Super built-up  Area,19-Dec,Marathahalli,1 BHK,PrensKe,615,1.0,1.0,44.0
Built-up  Area,Ready To Move,Banjara Layout,4 Bedroom,,3750,5.0,3.0,145.0
Super built-up  Area,20-Aug,Rachenahalli,1 BHK,AsNowre,680,1.0,1.0,44.0
Super built-up  Area,Ready To Move,Begur,3 BHK,Spews L,1304,3.0,0.0,65.0
Super built-up  Area,Ready To Move,Makali,1 BHK,,530,1.0,1.0,18.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1329,2.0,1.0,56.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1200,2.0,3.0,83.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Mades G,1510,2.0,1.0,110.0
Super built-up  Area,Ready To Move,Dodda Kempaiah Layout,3 BHK,,1600,3.0,2.0,75.0
Plot  Area,17-Feb,Old Madras Road,4 Bedroom,,2600,4.0,,260.0
Super built-up  Area,Ready To Move,Crimson Layout,2 BHK,ARntyne,1230,2.0,2.0,57.0
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,AcisePa,1395,2.0,2.0,72.0
Built-up  Area,19-Dec,Sarjapur,3 Bedroom,,1830,3.0,1.0,88.0
Plot  Area,Ready To Move,Vivek Nagar,2 Bedroom,,1600,2.0,1.0,160.0
Super built-up  Area,19-Jun,Mallathahalli,2 BHK,Siacen ,1100,2.0,2.0,64.08
Plot  Area,Ready To Move,KR Puram,2 Bedroom,,1200,1.0,0.0,65.0
Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,PrarePa,1100,3.0,2.0,53.0
Super built-up  Area,18-Aug,Rajaji Nagar,3 BHK,ProdsWe,1776,3.0,1.0,190.0
Super built-up  Area,Ready To Move,Byrasandra,2 BHK,Srhan P,1100,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,,1200,3.0,2.0,44.0
Super built-up  Area,Ready To Move,Abbigere,2 BHK,SLtias ,795,2.0,1.0,32.54
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,PrOakSi,4144,4.0,3.0,315.0
Plot  Area,Ready To Move,Sector 7 HSR Layout,5 Bedroom,,900,4.0,0.0,90.0
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,PueraRi,3895,4.0,3.0,220.0
Built-up  Area,18-Dec,Whitefield,2 BHK,,1059,2.0,1.0,57.0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,SViseun,1096,2.0,1.0,43.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1151,2.0,2.0,39.0
Super built-up  Area,19-Aug,Sarjapura - Attibele Road,2 BHK,,829,2.0,1.0,22.8
Super built-up  Area,Ready To Move,Kothannur,3 BHK,,1404,2.0,1.0,56.15
Built-up  Area,Ready To Move,Gunjur,2 BHK,Puide P,1190,2.0,2.0,40.0
Super built-up  Area,Ready To Move,Kodihalli,2 BHK,,1000,2.0,1.0,62.0
Built-up  Area,Ready To Move,Kundalahalli,1 BHK,,2400,1.0,0.0,650.0
Plot  Area,Ready To Move,Ramamurthy Nagar,1 Bedroom,,1Grounds,1.0,1.0,48.0
Plot  Area,Ready To Move,Kanakpura Road,2 Bedroom,,1200,2.0,0.0,62.0
Built-up  Area,Ready To Move,1st Stage Indira Nagar,2 BHK,,1400,2.0,1.0,67.0
Plot  Area,Ready To Move,Kalkere Channasandra,2 Bedroom,,1200,2.0,0.0,53.0
Super built-up  Area,Ready To Move,Sultan Palaya,2 BHK,,1100,2.0,1.0,45.0
Super built-up  Area,Ready To Move,Ashwath Nagar,2 BHK,SJcerpe,1262,2.0,2.0,63.0
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,4190,4.0,3.0,380.0
Plot  Area,Ready To Move,Nagarbhavi Garden Villas Layout,4 Bedroom,,1200,3.0,1.0,180.0
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Srntsha,1200,2.0,2.0,48.0
Super built-up  Area,19-Jan,Rajaji Nagar,5 BHK,,7500,8.0,3.0,1700.0
Super built-up  Area,19-Jun,Hebbal,4 BHK,Raard B,2790,5.0,3.0,204.0
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Ahownve,1128,2.0,1.0,60.0
Built-up  Area,Ready To Move,Mysore Road,2 BHK,PrawnRa,883,2.0,1.0,50.0
Super built-up  Area,19-Mar,Hennur Road,2 BHK,Puachal,1232,2.0,0.0,69.61
Built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,SJmesst,1253,2.0,1.0,65.8
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,PuontFa,1590,2.0,2.0,135.0
Super built-up  Area,17-Sep,Ulsoor,4 BHK,,7200,5.0,2.0,1584.0
Super built-up  Area,Ready To Move,Venugopal Reddy Layout,2 BHK,Patust ,1155,2.0,2.0,69.0
Plot  Area,Ready To Move,Kanaka Nagar,2 Bedroom,,1200,2.0,1.0,125.0
Super built-up  Area,18-Dec,Hebbal,3 BHK,Magiaya,1355,3.0,2.0,83.87
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,,1280,2.0,1.0,60.0
Super built-up  Area,Ready To Move,Seethappa Layout,2 BHK,,850,2.0,1.0,42.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,,1220,2.0,1.0,57.0
Built-up  Area,Ready To Move,Kattigenahalli,6 Bedroom,,3500,6.0,,115.0
Super built-up  Area,19-Dec,Devanahalli,2 BHK,Jurdsig,1230 - 1490,2.0,0.0,62.425
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1680,3.0,3.0,125.0
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,BrlisMe,1960,3.0,3.0,160.0
Super built-up  Area,Ready To Move,Ambalipura,3 BHK,Dimes E,1607,2.0,2.0,112.0
Built-up  Area,Ready To Move,Kodichikkanahalli,5 Bedroom,,2700,4.0,2.0,125.0
Plot  Area,Ready To Move,Dwarka Nagar,8 Bedroom,,2400,6.0,3.0,125.0
Super built-up  Area,Ready To Move,Kalkere,2 BHK,Sothin ,925,2.0,3.0,42.0
Built-up  Area,Ready To Move,Vishwanatha Nagenahalli,3 BHK,PrBayGa,2159,3.0,2.0,120.0
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,,793,2.0,1.0,45.0
Super built-up  Area,18-Dec,Sarjapur,2 BHK,Kinuerg,1145 - 1340,2.0,0.0,43.49
Built-up  Area,Ready To Move,Jayanti Nagar,2 BHK,,760,2.0,1.0,37.49
Plot  Area,Ready To Move,Prasanti Nagar,4 Bedroom,,1200,4.0,1.0,190.0
Super built-up  Area,17-May,Hegde Nagar,4 BHK,SoisoCa,3216,5.0,2.0,300.0
Plot  Area,Ready To Move,2nd Block Hrbr Layout,4 Bedroom,,1050,6.0,1.0,74.0
Super built-up  Area,18-May,Hebbal,4 BHK,SNontle,3067,4.0,1.0,310.0
Super built-up  Area,18-Jul,Bannerghatta,4 BHK,Mamespa,1791 - 4000,,,246.0
Super built-up  Area,18-Jul,Udayapur Village,3 BHK,Plowsri,1440,2.0,2.0,63.93
Built-up  Area,Ready To Move,Hoysalanagar,3 BHK,RKntsrt,840,2.0,2.0,35.0
Super built-up  Area,18-Apr,Begur,3 BHK,Arera V,1445,2.0,2.0,47.1
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Arria G,1015,2.0,1.0,45.0
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Rie 2ri,920,2.0,2.0,26.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,1120,2.0,1.0,51.0
Plot  Area,Ready To Move,Hennur Bande,5 Bedroom,,1200,4.0,2.0,150.0
Built-up  Area,Ready To Move,BTM 2nd Stage,3 BHK,SNe 2ev,1850,3.0,,170.0
Built-up  Area,Ready To Move,Shampura,3 BHK,Koillph,1475,3.0,3.0,78.0
Super built-up  Area,18-May,Ramagondanahalli,2 BHK,ViistLa,1151,2.0,2.0,50.5
Built-up  Area,Ready To Move,Marathahalli,2 BHK,Aantspa,1270,2.0,2.0,80.0
Super built-up  Area,Ready To Move,Harappanahalli,2 BHK,,1311,2.0,2.0,48.0
Built-up  Area,18-Mar,Bannerghatta Road,3 BHK,SNity S,1655,3.0,3.0,90.0
Plot  Area,Ready To Move,Canara Bank Layout,4 Bedroom,,1200,4.0,2.0,170.0
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1345,2.0,1.0,97.0
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,,1357,2.0,2.0,54.0
Plot  Area,Ready To Move,Brookefield,4 Bedroom,,1700,4.0,1.0,152.0
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,MJtroty,769,2.0,1.0,40.0
Super built-up  Area,Ready To Move,Talaghattapura,2 BHK,,1175,2.0,2.0,62.0
Carpet  Area,Ready To Move,Kanakpura Road,3 BHK,Advash ,1560,3.0,,92.0
Built-up  Area,Ready To Move,Sompura,2 BHK,Suiseit,825,2.0,1.0,32.0
Super built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,Saoneil,1101,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1243,2.0,2.0,46.0
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1174,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1550,3.0,2.0,74.5
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Velas V,1315,2.0,2.0,85.0
Super built-up  Area,Ready To Move,Ambalipura,3 BHK,Maorai ,1625,2.0,2.0,145.0
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,Chhamku,1590,2.0,3.0,85.0
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,Vaarai ,994,2.0,0.0,54.67
Built-up  Area,Ready To Move,Yarandahalli,3 BHK,,1350,2.0,3.0,48.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,,1075,2.0,1.0,53.0
Super built-up  Area,20-Oct,Banashankari Stage VI,2 BHK,Brens7 ,1160,2.0,1.0,59.0
Super built-up  Area,Ready To Move,Kasturi Nagar,4 BHK,Radenta,1896,3.0,1.0,125.0
Super built-up  Area,Ready To Move,Kempegowda Nagar,3 BHK,Srowsrj,1665,3.0,2.0,105.0
Super built-up  Area,Ready To Move,Dodsworth Layout,3 BHK,Ciques ,1893,3.0,2.0,115.0
Super built-up  Area,18-Feb,Rajaji Nagar,3 BHK,Puwerun,1621,4.0,0.0,130.0
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525,1.0,1.0,25.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,,1075,2.0,1.0,40.0
Super built-up  Area,Ready To Move,Hoskote,3 BHK,Deiveer,1225,3.0,1.0,40.0
Super built-up  Area,21-Dec,Thanisandra,1 BHK,Bhe 2ko,663,1.0,0.0,32.82
Super built-up  Area,19-Mar,Marathahalli,1 BHK,Unezes ,607,1.0,1.0,35.0
Built-up  Area,Ready To Move,Karuna Nagar,3 Bedroom,CoinoCu,2500,3.0,2.0,180.0
Plot  Area,Ready To Move,Ullal Road,4 Bedroom,,3400,4.0,2.0,190.0
Super built-up  Area,Ready To Move,Harlur,2 BHK,,1152,2.0,2.0,69.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,NStusD ,1153,2.0,1.0,65.0
Plot  Area,Ready To Move,Jinkethimmanahalli,3 Bedroom,,1500,2.0,1.0,130.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Dhalsh ,1160,2.0,2.0,44.0
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,DSousyl,1124,2.0,1.0,30.35
Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1108,2.0,1.0,87.0
Plot  Area,Ready To Move,Vijayanagar,8 Bedroom,,600,4.0,1.0,72.0
Super built-up  Area,Ready To Move,Hebbal,4 BHK,Prersis,2483,5.0,2.0,212.0
Super built-up  Area,Ready To Move,Bannerghatta Road,4 BHK,Kobhiil,2932,5.0,,195.0
Super built-up  Area,19-Oct,Hebbal,3 BHK,SNontle,2526,2.0,2.0,250.0
Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,DSdhiSa,1560,3.0,3.0,66.0
Super built-up  Area,Ready To Move,Yelenahalli,2 BHK,,1260,2.0,2.0,47.88
Plot  Area,Ready To Move,Kothannur,6 Bedroom,,930,6.0,1.0,150.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,PuandHi,1339,2.0,2.0,85.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Asintas,1350,2.0,1.0,99.0
Super built-up  Area,Ready To Move,Jalahalli East,2 BHK,ShshaSa,1010,2.0,1.0,52.0
Super built-up  Area,18-Sep,Bannerghatta Road,2 BHK,DSnjh S,1246,2.0,2.0,47.35
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1450,3.0,3.0,62.4
Plot  Area,Ready To Move,ITI Layout,6 Bedroom,,2160,5.0,1.0,250.0
Super built-up  Area,18-Dec,Whitefield,4 BHK,Prtates,2830 - 2882,5.0,0.0,145.5
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1185,2.0,2.0,75.0
Super built-up  Area,18-Dec,Old Airport Road,4 BHK,Jaades ,2658,5.0,3.0,189.0
Super built-up  Area,18-Nov,Thanisandra,3 BHK,,1588,3.0,1.0,75.55
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Saavean,1144,2.0,2.0,65.0
Built-up  Area,18-May,KR Puram,2 BHK,SancyRe,1075,2.0,2.0,32.25
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Chsilut,1180,2.0,2.0,70.0
Super built-up  Area,22-Dec,Bannerghatta Road,3 BHK,PrarePa,1365 - 1700,3.0,0.0,79.465
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Mancya ,1256,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Adeatlm,2275,4.0,2.0,182.0
Built-up  Area,Ready To Move,Sarjapur,4 BHK,,1550,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Sarjapur,1 BHK,DSousyl,633 - 666,1.0,0.0,17.535
Super built-up  Area,21-Jun,Vijayanagar,1 BHK,Saahaat,492,1.0,1.0,40.0
Built-up  Area,Ready To Move,ISRO Layout,4 Bedroom,,950,4.0,,180.0
Plot  Area,Ready To Move,Hoskote,4 Bedroom,Dhistee,1200,4.0,3.0,140.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,BrlisCo,1320,2.0,1.0,95.0
Plot  Area,Ready To Move,Outer Ring Road East,4 Bedroom,PrstaTe,4051,4.0,3.0,345.0
Super built-up  Area,18-Oct,Hennur Road,3 BHK,DSapeSk,2182,3.0,2.0,72.04
Super built-up  Area,Ready To Move,Amruthnagar,2 BHK,Saeur G,1210,2.0,2.0,72.0
Super built-up  Area,Ready To Move,Brookefield,2 BHK,CidgeKn,1139,2.0,2.0,80.0
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1050,2.0,2.0,52.5
Super built-up  Area,Ready To Move,Jaymahal Road,3 BHK,,3400,3.0,3.0,400.0
Super built-up  Area,Ready To Move,Bhoganhalli,2 BHK,Srhemay,1260,2.0,1.0,69.9
Built-up  Area,17-Dec,Hebbal,2 BHK,Mahosya,1420,2.0,2.0,107.0
Super built-up  Area,Ready To Move,1st Block Koramangala,3 BHK,LuncyRe,1800,3.0,2.0,53.0
Plot  Area,Ready To Move,Mallathahalli,2 Bedroom,,1200,2.0,0.0,79.0
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,Bamita ,1870,3.0,3.0,185.0
Super built-up  Area,Ready To Move,Jakkasandra,3 BHK,LuntsAp,1600,3.0,2.0,102.0
Super built-up  Area,Ready To Move,Gopalkrishna Nagar,3 BHK,MJarlPe,2505,3.0,,165.0
Built-up  Area,Ready To Move,Ardendale,4 BHK,AWharde,2800,4.0,,140.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,PuandHi,1339,2.0,2.0,71.5
Super built-up  Area,Ready To Move,Dasanapura,2 BHK,Tavenew,814,2.0,1.0,42.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,UKe 2nz,2225,3.0,3.0,115.0
Super built-up  Area,Ready To Move,Nallurhalli,3 BHK,TrryaAi,1237,3.0,2.0,78.0
Built-up  Area,Ready To Move,Herohalli,3 Bedroom,,1200,2.0,0.0,70.0
Super built-up  Area,17-Mar,Varthur,2 BHK,Uptusol,1385,2.0,3.0,80.0
Built-up  Area,Ready To Move,Kanaka Nagar,3 BHK,SoersTo,1190,3.0,1.0,55.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1200,2.0,1.0,41.0
Super built-up  Area,Ready To Move,Gottigere,3 BHK,Krryll ,1435,2.0,3.0,62.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Vasta C,1385,2.0,2.0,58.17
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,,1060,2.0,3.0,42.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SrireSo,1150,2.0,2.0,55.0
Super built-up  Area,18-Nov,Sarjapur  Road,3 BHK,AsastDe,1157,2.0,1.0,69.0
Super built-up  Area,18-Oct,Ramagondanahalli,3 BHK,DNeremo,1910,3.0,2.0,150.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075,2.0,1.0,31.0
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1440,2.0,3.0,62.0
Built-up  Area,Ready To Move,"Thanisandra Main Road, ",2 BHK,,1308,2.0,1.0,86.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,1628,2.0,2.0,68.0
Super built-up  Area,18-Apr,Gattahalli,2 BHK,Arano M,1028,2.0,1.0,45.5
Super built-up  Area,18-Jul,Chandapura,3 BHK,SunceEs,1185,2.0,2.0,30.22
Super built-up  Area,Ready To Move,Mathikere,3 BHK,,1500,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Shthi S,1505,2.0,2.0,60.0
Super built-up  Area,18-Mar,Yelahanka,3 BHK,Miitat ,1859,3.0,1.0,108.0
Built-up  Area,Ready To Move,Kumaraswami Layout,4 Bedroom,,2600,4.0,2.0,300.0
Super built-up  Area,Ready To Move,Yelachenahalli,2 BHK,Shentnd,1000,2.0,2.0,50.0
Super built-up  Area,18-Apr,Kothannur,3 BHK,,1270,3.0,2.0,45.0
Built-up  Area,Ready To Move,Thubarahalli,2 BHK,ShdhiSa,1216,2.0,1.0,80.0
Built-up  Area,Ready To Move,Yelahanka,1 BHK,,651,1.0,1.0,17.5
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,,1223,3.0,2.0,39.14
Super built-up  Area,Ready To Move,Motappa Layout,3 BHK,Puodse ,1360,2.0,1.0,59.27
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1410,2.0,3.0,44.42
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,SLaceda,1188,2.0,1.0,39.0
Super built-up  Area,Ready To Move, Banaswadi,1 RK,Krntsee,527,1.0,0.0,35.0
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,1050,2.0,1.0,35.0
Built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,Prityel,845,2.0,0.0,34.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,550,2.0,1.0,16.0
Plot  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,,1200,2.0,0.0,66.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,,1020,2.0,2.0,45.75
Super built-up  Area,Ready To Move,Malleshwaram,4 BHK,Apinaa ,2610,4.0,2.0,306.0
Super built-up  Area,Ready To Move,Kudlu,2 BHK,,1027,2.0,2.0,44.0
Super built-up  Area,Ready To Move,Harlur,2 BHK,Prncyrn,1174,2.0,1.0,75.0
Built-up  Area,Ready To Move,Kodbisanhalli,3 BHK,KSideas,1430,3.0,2.0,70.0
Super built-up  Area,18-Oct,Uttarahalli,3 BHK,,1320,2.0,3.0,55.44
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,,1200,2.0,1.0,45.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1464,3.0,3.0,56.0
Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1140,2.0,2.0,50.66
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1190,2.0,1.0,75.0
Super built-up  Area,Ready To Move,VGP Layout,2 BHK,Manha M,1000,2.0,1.0,44.0
Built-up  Area,Ready To Move,3rd Block Hrbr Layout,3 BHK,,1650,3.0,2.0,140.0
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Elayabh,855,2.0,1.0,32.0
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1224,2.0,3.0,39.2
Built-up  Area,Ready To Move,Maruthi Sevanagar,2 BHK,,933,2.0,0.0,55.0
Built-up  Area,Ready To Move,Maruthi Nagar,2 BHK,,1158,2.0,3.0,75.0
Super built-up  Area,Ready To Move,1st Stage Indira Nagar,4 BHK,,3000,4.0,2.0,301.0
Super built-up  Area,20-Dec,Uttarahalli,2 BHK,PrdgeLa,1137,2.0,1.0,63.0
Super built-up  Area,Ready To Move,Banashankari Stage II,5 BHK,,2800,3.0,2.0,425.0
Built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1360,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Singasandra,2 BHK,SLowse ,1139.7,2.0,1.0,45.0
Super built-up  Area,Ready To Move,VGP Layout,3 BHK,Vaurtar,1515,3.0,3.0,90.0
Super built-up  Area,Ready To Move,Banagiri Nagar,3 BHK,,1500,2.0,2.0,89.99
Carpet  Area,Ready To Move,Jaya Mahal layout,3 BHK,Fanorrt,1650,3.0,3.0,175.0
Plot  Area,Ready To Move,Bellandur,4 Bedroom,,1200,5.0,,325.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,,1026,2.0,1.0,60.55
Super built-up  Area,Ready To Move,Hormavu,2 BHK,ARureig,1075,2.0,1.0,53.7
Super built-up  Area,Ready To Move,KR Puram,2 BHK,,1001,2.0,2.0,30.0
Built-up  Area,Ready To Move,Shampura,2 BHK,Koillph,1187,2.0,2.0,42.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,SollaMa,1846,3.0,2.0,155.0
Super built-up  Area,Ready To Move,Varthur,2 BHK,Caiseur,1280,2.0,,65.0
